affiliation_id,affiliation_name,affiliation_country,affiliation_city
100241956,Division of Cardiology,Switzerland,Geneva
100242046,Department of Biology,United States,Chapel Hill
100242133,Department of Economics,United States,Chapel Hill
100242991,Department of Atmospheric Science,United States,Urbana
100242998,Department of Crop Sciences,United States,Urbana
100243361,Department of Surgery,United States,Detroit
100243368,Department of Pediatrics,United States,Detroit
100243633,Department of Physics and Astronomy,United Kingdom,Manchester
100243817,Department of Gastroenterology,Japan,Tokyo
100243890,Department of Surgery,United States,New York
100243921,College of Sciences,Philippines,Quezon City
100243928,Department of Computer Science,Philippines,Quezon City
100243930,Department of Sociology,Philippines,Quezon City
100243932,Department of Mechanical Engineering,Philippines,Quezon City
100243936,Department of Anthropology,Philippines,Quezon City
100243937,Institute of Chemistry,Philippines,Quezon City
100243943,Department of Political Science,Philippines,Quezon City
100243949,Department of Food Science and Nutrition,Philippines,Quezon City
100243950,Institute of Biology,Philippines,Quezon City
100243954,Department of Economics,Philippines,Quezon City
100243957,Department of Chemical Engineering,Philippines,Quezon City
100243958,Department of Philosophy,Philippines,Quezon City
100246349,Department of Laboratory,China,Beijing
100246834,Department of Statistics,United States,Columbia
100247119,Department of Government,Australia,Sydney
100247407,Department of Medicine,United States,Cleveland
100247495,Department of Geography,Canada,Vancouver
100247681,Department of Pediatrics,United States,New York
100248011,Department of Mathematical Sciences,United States,Newark
100248058,Department of Microbiology,India,New Delhi
100248290,Department of Pediatrics,Thailand,Bangkok
100248291,Department of Internal Medicine,Thailand,Bangkok
100248675,Department of Otorhinolaryngology,United States,Pittsburgh
100248806,Department of Surgery,United States,Bethesda
100248848,Department of Chemistry,United Kingdom,Nottingham
100249124,Department of Biology,United States,Syracuse
100249125,Department of Geography,United States,Syracuse
100249383,Department of Veterinary Anatomy,Japan,Obihiro
100249501,Department of Dermatology,United States,Detroit
100249544,Department of Entomology,China,Guangzhou
100249638,Institute of Biological Sciences,Philippines,Los Banos
100249639,Department of Agronomy,Philippines,Los Banos
100249640,Department of Horticulture,Philippines,Los Banos
