label,GDP Per Capita
2021,3460.53096344408
2020,3224.42255131214
2019,3413.84792378255
2018,3194.67452128933
2017,3077.43564004791
2016,3038.1497339217
2015,2974.29953130009
2014,2935.92555618062
2013,2847.5669365201
2012,2671.77720537356
2011,2431.20203745534
2010,2201.77507099684
2009,1893.28116413571
2008,1990.35559000084
2007,1741.60317179619
2006,1452.22064136706
2005,1245.28640284825
2004,1122.85586244523
2003,1049.38713351802
2002,1037.17412450288
2001,991.147982051369
2000,1073.26322188173
1999,1123.16308302211
1998,1000.00546700952
1997,1294.11012788891
1996,1334.10565630149
1995,1222.29094684962
1994,1081.43295609927
1993,938.763734682196
1992,936.148270418193
1991,821.453230868496
1990,820.487180286668
1989,806.849818370655
1988,734.429409229958
1987,658.213490259189
1986,605.725843521468
1985,637.83741315525
1984,667.667572185048
1983,723.084362876087
1982,828.567646214306
1981,815.221244073788
1980,761.019997674105
1979,662.05103011485
1978,561.378575003951
1977,499.102417251321
1976,445.801648017173
1975,398.053222778291
1974,377.106960675247
1973,282.442086031599
1972,230.076179145029
1971,217.97775788428
1970,201.924968673986
1969,262.405242856398
1968,242.868359176618
1967,223.153532833099
1966,213.293915575289
1965,198.664772941896
1964,186.541259087771
1963,177.332394879719
1962,164.13346332325
1961,278.476991364257
1960,263.836861922124
